Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,03/21/19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4435
IndiGo,06/12/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4804
IndiGo,04/12/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:50,2h 35m,1,No info,4174
IndiGo,05/06/19,Mumbai,Hyderabad,BOM ? HYD,2:35,4:05,1h 30m,1,No info,3342
IndiGo,04/18/19,New Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,1,No info,6015
Vistara,05/12/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:35,2h 35m,1,No info,4878
IndiGo,05/03/19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,3943
SpiceJet,05/18/19,Mumbai,Hyderabad,BOM ? HYD,22:45,19-05-21 0:15,1h 30m,1,No check-in baggage included,1965
IndiGo,06/03/19,Bangalore,New Delhi,BLR ? DEL,13:00,15:50,2h 50m,1,No info,3943
GoAir,05/15/19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3398
Air Asia,04/18/19,Kolkata,Bangalore,CCU ? BLR,10:20,12:55,2h 35m,1,No info,4409
Jet Airways,06/21/19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,No info,8541
IndiGo,03/21/19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,4777
SpiceJet,03/18/19,Kolkata,Bangalore,CCU ? BLR,22:20,19-03-21 0:40,2h 20m,1,No info,3847
Vistara,05/27/19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,1,No info,4668
SpiceJet,03/18/19,Mumbai,Hyderabad,BOM ? HYD,22:45,19-03-21 0:10,1h 25m,1,No check-in baggage included,1965
IndiGo,06/15/19,Mumbai,Hyderabad,BOM ? HYD,9:10,10:40,1h 30m,1,No info,4049
Jet Airways,05/24/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,No info,7229
Air India,05/24/19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4145
IndiGo,03/15/19,Mumbai,Hyderabad,BOM ? HYD,9:10,10:40,1h 30m,1,No info,4049
Air India,05/09/19,Bangalore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,1,No info,6121
SpiceJet,06/21/19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:15,1h 30m,1,No check-in baggage included,2647
SpiceJet,03/18/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:45,2h 30m,1,No check-in baggage included,4413
IndiGo,05/09/19,Kolkata,Bangalore,CCU ? BLR,21:25,10/05/21 0:05,2h 40m,1,No info,4804
IndiGo,03/09/19,Bangalore,New Delhi,BLR ? DEL,22:20,13-03-21 1:10,2h 50m,1,No info,4377
Air India,06/06/19,Bangalore,New Delhi,BLR ? DEL,6:10,8:55,2h 45m,1,No info,6961
IndiGo,05/09/19,Bangalore,New Delhi,BLR ? DEL,18:55,21:50,2h 55m,1,No info,4823
IndiGo,03/21/19,Kolkata,Bangalore,CCU ? BLR,14:20,16:55,2h 35m,1,No info,5198
Vistara,04/27/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:35,2h 35m,1,No info,5613
IndiGo,05/03/19,Mumbai,Hyderabad,BOM ? HYD,9:10,10:40,1h 30m,1,No info,5755
Vistara,05/21/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
Jet Airways,06/03/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,No info,5678
IndiGo,06/03/19,Bangalore,New Delhi,BLR ? DEL,16:55,19:55,3h,1,No info,4823
IndiGo,06/15/19,Kolkata,Bangalore,CCU ? BLR,4:40,7:15,2h 35m,1,No info,4804
SpiceJet,06/06/19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:15,1h 30m,1,No check-in baggage included,2647
Jet Airways,03/03/19,Mumbai,Hyderabad,BOM ? HYD,7:10,8:35,1h 25m,1,No info,5678
SpiceJet,03/27/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:45,2h 30m,1,No info,3847
Jet Airways,05/18/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,No info,7229
Jet Airways,06/18/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:20,1h 25m,1,In-flight meal not included,4995
SpiceJet,04/01/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No check-in baggage included,3841
Vistara,04/09/19,Bangalore,New Delhi,BLR ? DEL,11:30,14:20,2h 50m,1,No info,5403
IndiGo,03/15/19,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,1,No info,6297
GoAir,03/09/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:50,2h 55m,1,No info,5706
IndiGo,06/01/19,Bangalore,New Delhi,BLR ? DEL,16:55,19:45,2h 50m,1,No info,4823
IndiGo,06/24/19,Mumbai,Hyderabad,BOM ? HYD,16:55,18:25,1h 30m,1,No info,3175
IndiGo,04/18/19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,4423
GoAir,04/06/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,3419
SpiceJet,06/03/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No info,3873
IndiGo,04/15/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4174
SpiceJet,06/18/19,Bangalore,New Delhi,BLR ? DEL,21:10,19-06-21 0:05,2h 55m,1,No info,3971
SpiceJet,06/06/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No check-in baggage included,3573
Air India,03/03/19,Kolkata,Bangalore,CCU ? BLR,14:15,16:45,2h 30m,1,No info,13885
Air Asia,04/27/19,Kolkata,Bangalore,CCU ? BLR,19:55,22:25,2h 30m,1,No info,4409
Jet Airways,05/27/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,In-flight meal not included,4030
Jet Airways,06/01/19,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,1,In-flight meal not included,4050
Jet Airways,04/09/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,In-flight meal not included,4544
SpiceJet,06/15/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No info,3873
SpiceJet,06/27/19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,1,No info,3597
Jet Airways,04/01/19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,In-flight meal not included,4544
Jet Airways,05/09/19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,1,No info,9564
IndiGo,04/27/19,Kolkata,Bangalore,CCU ? BLR,14:25,16:55,2h 30m,1,No info,4804
SpiceJet,06/15/19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No info,3597
IndiGo,05/15/19,Mumbai,Hyderabad,BOM ? HYD,20:05,21:40,1h 35m,1,No info,2227
Air India,03/01/19,Bangalore,New Delhi,BLR ? DEL,6:10,8:55,2h 45m,1,No info,15676
SpiceJet,04/27/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No check-in baggage included,3841
IndiGo,04/09/19,Bangalore,New Delhi,BLR ? DEL,5:30,8:20,2h 50m,1,No info,3943
Vistara,06/09/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:35,2h 35m,1,No info,4878
IndiGo,03/06/19,Kolkata,Bangalore,CCU ? BLR,15:20,17:55,2h 35m,1,No info,5618
Vistara,04/01/19,New Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,1,No info,4851
GoAir,05/15/19,Bangalore,New Delhi,BLR ? DEL,7:45,10:40,2h 55m,1,No info,3419
IndiGo,04/01/19,Bangalore,New Delhi,BLR ? DEL,6:05,8:50,2h 45m,1,No info,3943
IndiGo,06/21/19,Bangalore,New Delhi,BLR ? DEL,0:25,3:15,2h 50m,1,No info,3419
Jet Airways,06/12/19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,In-flight meal not included,5769
SpiceJet,05/01/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No check-in baggage included,3841
IndiGo,06/24/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4804
SpiceJet,04/12/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No check-in baggage included,4319
SpiceJet,05/21/19,Bangalore,New Delhi,BLR ? DEL,21:10,22-05-21 0:05,2h 55m,1,No info,3625
Vistara,04/01/19,Bangalore,New Delhi,BLR ? DEL,19:30,22:15,2h 45m,1,No info,5613
IndiGo,04/03/19,Bangalore,New Delhi,BLR ? DEL,6:05,8:50,2h 45m,1,No info,4077
Air India,03/03/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:45,2h 45m,1,No info,19508
IndiGo,05/01/19,Kolkata,Bangalore,CCU ? BLR,4:40,7:15,2h 35m,1,No info,4804
SpiceJet,04/21/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No check-in baggage included,4807
Vistara,03/24/19,Bangalore,New Delhi,BLR ? DEL,11:30,14:10,2h 40m,1,No info,5403
IndiGo,06/06/19,Bangalore,New Delhi,BLR ? DEL,18:55,21:50,2h 55m,1,No info,4990
GoAir,05/01/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,3898
SpiceJet,03/24/19,Bangalore,New Delhi,BLR ? DEL,5:45,8:35,2h 50m,1,No info,4377
Vistara,06/09/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No info,11982
SpiceJet,06/09/19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,1,No info,4423
GoAir,05/27/19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3398
Jet Airways,04/06/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,No info,7229
SpiceJet,04/21/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:30,2h 35m,1,No info,4174
IndiGo,05/01/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4804
IndiGo,06/18/19,Bangalore,New Delhi,BLR ? DEL,0:25,3:15,2h 50m,1,No info,3419
IndiGo,03/18/19,Chennai,Kolkata,MAA ? CCU,22:05,19-03-21 0:25,2h 20m,1,No info,5277
Jet Airways,06/03/19,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,1,In-flight meal not included,4995
IndiGo,03/21/19,Kolkata,Bangalore,CCU ? BLR,5:30,8:20,2h 50m,1,No info,4148
IndiGo,05/27/19,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,1,No info,3597
IndiGo,05/12/19,New Delhi,Cochin,DEL ? COK,14:25,17:40,3h 15m,1,No info,5000
SpiceJet,03/24/19,Bangalore,New Delhi,BLR ? DEL,5:45,8:35,2h 50m,1,No check-in baggage included,4273
IndiGo,06/12/19,Mumbai,Hyderabad,BOM ? HYD,12:00,13:30,1h 30m,1,No info,2754
GoAir,04/01/19,Bangalore,New Delhi,BLR ? DEL,7:45,10:40,2h 55m,1,No info,4239
IndiGo,03/01/19,Chennai,Kolkata,MAA ? CCU,5:15,7:35,2h 20m,1,No info,7295
IndiGo,05/15/19,Kolkata,Bangalore,CCU ? BLR,14:25,16:55,2h 30m,1,No info,5224
SpiceJet,03/09/19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:05,1h 20m,1,No info,4391
SpiceJet,04/27/19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,1,No check-in baggage included,4885
Jet Airways,06/01/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,No info,8016
SpiceJet,04/01/19,Bangalore,New Delhi,BLR ? DEL,21:10,02/04/21 0:05,2h 55m,1,No info,3625
Jet Airways,05/21/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,No info,5678
SpiceJet,05/21/19,Mumbai,Hyderabad,BOM ? HYD,22:45,22-05-21 0:15,1h 30m,1,No check-in baggage included,1965
SpiceJet,06/15/19,Mumbai,Hyderabad,BOM ? HYD,22:45,16-06-21 0:15,1h 30m,1,No info,2017
SpiceJet,03/03/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No info,7298
IndiGo,03/03/19,Bangalore,New Delhi,BLR ? DEL,10:05,13:00,2h 55m,1,No info,7648
Air India,06/03/19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,6961
IndiGo,05/12/19,Bangalore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,1,No info,3943
IndiGo,03/12/19,Kolkata,Bangalore,CCU ? BLR,5:30,8:20,2h 50m,1,No info,4148
SpiceJet,06/27/19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No info,3597
Air India,05/12/19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,5228
Vistara,06/06/19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,1,No info,4668
IndiGo,04/18/19,Bangalore,New Delhi,BLR ? DEL,21:15,19-04-21 0:15,3h,1,No info,4591
IndiGo,05/12/19,Bangalore,New Delhi,BLR ? DEL,21:15,13-05-21 0:15,3h,1,No info,3943
Air India,04/21/19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,5228
IndiGo,05/15/19,Chennai,Kolkata,MAA ? CCU,11:35,14:00,2h 25m,1,No info,4332
Air Asia,03/03/19,Bangalore,New Delhi,BLR ? DEL,5:50,8:40,2h 50m,1,No info,7652
SpiceJet,06/12/19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,1,No check-in baggage included,4319
IndiGo,04/18/19,New Delhi,Cochin,DEL ? COK,14:20,17:35,3h 15m,1,No info,6015
Air Asia,03/09/19,Kolkata,Bangalore,CCU ? BLR,22:50,10/03/21 1:20,2h 30m,1,No info,4384
IndiGo,06/03/19,Bangalore,New Delhi,BLR ? DEL,6:05,8:50,2h 45m,1,No info,3943
Air India,04/12/19,Bangalore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,1,No info,5911
IndiGo,04/21/19,Kolkata,Bangalore,CCU ? BLR,9:35,12:20,2h 45m,1,No info,4804
Jet Airways,03/18/19,Mumbai,Hyderabad,BOM ? HYD,15:50,17:20,1h 30m,1,No info,5678
Jet Airways,05/06/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,In-flight meal not included,5198
IndiGo,06/01/19,Kolkata,Bangalore,CCU ? BLR,14:25,16:55,2h 30m,1,No info,6064
Vistara,05/27/19,Bangalore,New Delhi,BLR ? DEL,19:30,22:15,2h 45m,1,No info,4878
Vistara,06/27/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
IndiGo,05/18/19,Bangalore,New Delhi,BLR ? DEL,10:30,13:20,2h 50m,1,No info,3943
IndiGo,03/15/19,Mumbai,Hyderabad,BOM ? HYD,6:20,7:45,1h 25m,1,No info,3342
Vistara,05/06/19,Bangalore,New Delhi,BLR ? DEL,19:30,22:15,2h 45m,1,No info,4878
Air India,05/21/19,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,1,No info,3100
IndiGo,06/09/19,Mumbai,Hyderabad,BOM ? HYD,9:10,10:40,1h 30m,1,No info,4049
SpiceJet,04/09/19,Bangalore,New Delhi,BLR ? DEL,21:10,10/04/21 0:05,2h 55m,1,No check-in baggage included,3919
IndiGo,05/03/19,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,1,No info,3850
Jet Airways,03/18/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,In-flight meal not included,2071
Jet Airways,06/21/19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,1,In-flight meal not included,4256
Vistara,03/09/19,Bangalore,New Delhi,BLR ? DEL,16:00,18:35,2h 35m,1,No info,7923
Air Asia,03/15/19,Kolkata,Bangalore,CCU ? BLR,22:50,16-03-21 1:20,2h 30m,1,No info,3782
IndiGo,03/09/19,Bangalore,New Delhi,BLR ? DEL,5:30,8:20,2h 50m,1,No info,4777
Air India,06/01/19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4145
Air India,04/01/19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,4729
IndiGo,05/21/19,Kolkata,Bangalore,CCU ? BLR,15:30,18:05,2h 35m,1,No info,4804
SpiceJet,04/21/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No check-in baggage included,4439
IndiGo,03/18/19,New Delhi,Cochin,DEL ? COK,14:30,17:35,3h 5m,1,No info,5406
IndiGo,04/21/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4804
IndiGo,05/03/19,Bangalore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,1,No info,3943
Air India,03/15/19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4435
SpiceJet,04/03/19,Bangalore,New Delhi,BLR ? DEL,21:10,04/04/21 0:05,2h 55m,1,No check-in baggage included,3919
Jet Airways,04/06/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,In-flight meal not included,5198
SpiceJet,03/24/19,Bangalore,New Delhi,BLR ? DEL,5:45,8:35,2h 50m,1,No check-in baggage included,4273
IndiGo,05/06/19,Mumbai,Hyderabad,BOM ? HYD,12:00,13:30,1h 30m,1,No info,2754
Jet Airways,04/01/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,1,In-flight meal not included,4544
Jet Airways,05/03/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,No info,7229
IndiGo,03/27/19,New Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,1,No info,4729
Jet Airways,05/03/19,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,1,In-flight meal not included,4995
Jet Airways,05/01/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,No info,7229
IndiGo,04/27/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,1,No info,4823
Air Asia,03/27/19,Kolkata,Bangalore,CCU ? BLR,19:35,22:05,2h 30m,1,No info,3782
SpiceJet,05/24/19,Kolkata,Bangalore,CCU ? BLR,22:20,25-05-21 0:40,2h 20m,1,No check-in baggage included,3841
IndiGo,03/24/19,Kolkata,Bangalore,CCU ? BLR,15:20,17:55,2h 35m,1,No info,6985
Jet Airways,06/21/19,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,1,No info,8040
IndiGo,06/21/19,Kolkata,Bangalore,CCU ? BLR,22:15,22-06-21 0:50,2h 35m,1,No info,4804
Air India,05/01/19,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,1,No info,3625
IndiGo,06/24/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:50,2h 35m,1,No info,4804
Air India,06/01/19,Bangalore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,1,No info,6961
Air India,06/01/19,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,1,No info,3625
IndiGo,03/03/19,Mumbai,Hyderabad,BOM ? HYD,6:20,7:45,1h 25m,1,No info,4784
Jet Airways,05/24/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,In-flight meal not included,3210
Air India,06/18/19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,6961
Air India,04/24/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:45,2h 45m,1,No info,6121
Air India,04/12/19,Bangalore,New Delhi,BLR ? DEL,6:10,8:55,2h 45m,1,No info,5911
GoAir,05/06/19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3398
GoAir,05/24/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,3419
Vistara,03/24/19,Bangalore,New Delhi,BLR ? DEL,21:10,25-03-21 0:05,2h 55m,1,No info,6558
SpiceJet,03/24/19,Bangalore,New Delhi,BLR ? DEL,20:30,23:20,2h 50m,1,No info,5575
GoAir,05/06/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,3419
Jet Airways,03/21/19,Mumbai,Hyderabad,BOM ? HYD,3:05,4:25,1h 20m,1,No info,5678
IndiGo,05/06/19,Kolkata,Bangalore,CCU ? BLR,22:15,07/05/21 0:50,2h 35m,1,No info,4804
SpiceJet,04/21/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No info,4423
IndiGo,05/24/19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,1,No info,3419
SpiceJet,05/27/19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No check-in baggage included,3543
Jet Airways,06/18/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,No info,8016
Jet Airways,04/09/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,1,No info,7229
SpiceJet,06/27/19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:15,1h 30m,1,No info,2017
SpiceJet,06/18/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No info,3873
Vistara,03/09/19,Bangalore,New Delhi,BLR ? DEL,19:40,22:20,2h 40m,1,No info,7450
SpiceJet,06/06/19,Bangalore,New Delhi,BLR ? DEL,21:10,07/06/21 0:05,2h 55m,1,No info,3311
IndiGo,04/27/19,Bangalore,New Delhi,BLR ? DEL,21:15,28-04-21 0:15,3h,1,No info,3943
Jet Airways,06/03/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,In-flight meal not included,5769
SpiceJet,06/12/19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,1,No info,4423
IndiGo,06/03/19,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,1,No info,3540
IndiGo,04/18/19,Bangalore,New Delhi,BLR ? DEL,6:05,8:50,2h 45m,1,No info,4591
Jet Airways,05/24/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,In-flight meal not included,4544
IndiGo,05/21/19,Mumbai,Hyderabad,BOM ? HYD,20:05,21:40,1h 35m,1,No info,2227
Jet Airways,04/15/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,No info,7229
IndiGo,03/21/19,Kolkata,Bangalore,CCU ? BLR,21:25,22-03-21 0:05,2h 40m,1,No info,4148
Jet Airways,03/21/19,Mumbai,Hyderabad,BOM ? HYD,3:05,4:25,1h 20m,1,In-flight meal not included,2759
Jet Airways,05/15/19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,No info,7229
SpiceJet,06/21/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:30,2h 35m,1,No info,3873
SpiceJet,03/27/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:35,2h 40m,1,No check-in baggage included,3815
Jet Airways,03/15/19,Mumbai,Hyderabad,BOM ? HYD,15:50,17:20,1h 30m,1,No info,5678
IndiGo,06/24/19,Bangalore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,1,No info,3943
IndiGo,04/15/19,Bangalore,New Delhi,BLR ? DEL,23:30,16-04-21 2:20,2h 50m,1,No info,4591
IndiGo,05/18/19,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,1,No info,3597
Air Asia,06/24/19,Kolkata,Bangalore,CCU ? BLR,19:55,22:25,2h 30m,1,No info,3807
Jet Airways,03/21/19,Bangalore,New Delhi,BLR ? DEL,19:55,22:35,2h 40m,1,No info,7229
SpiceJet,05/03/19,Kolkata,Bangalore,CCU ? BLR,22:20,04/05/21 0:40,2h 20m,1,No info,3873
IndiGo,03/06/19,Kolkata,Bangalore,CCU ? BLR,21:25,07/03/21 0:05,2h 40m,1,No info,4778
Jet Airways,06/18/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,No info,8016
IndiGo,06/24/19,Bangalore,New Delhi,BLR ? DEL,8:30,11:20,2h 50m,1,No info,4823
Air India,03/21/19,New Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,1,No info,5674
IndiGo,06/18/19,Chennai,Kolkata,MAA ? CCU,11:35,14:00,2h 25m,1,No info,3858
IndiGo,05/24/19,Kolkata,Bangalore,CCU ? BLR,22:15,25-05-21 0:50,2h 35m,1,No info,4804
Air Asia,06/01/19,Kolkata,Bangalore,CCU ? BLR,10:20,12:55,2h 35m,1,No info,4409
IndiGo,03/18/19,Chennai,Kolkata,MAA ? CCU,11:35,14:00,2h 25m,1,No info,3858
IndiGo,06/06/19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,1,No info,3943
IndiGo,05/24/19,Chennai,Kolkata,MAA ? CCU,22:05,25-05-21 0:25,2h 20m,1,No info,5277
IndiGo,03/09/19,New Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,1,No info,6885
Jet Airways,06/12/19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,No info,8016
Jet Airways,03/24/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,In-flight meal not included,2470
Jet Airways,05/01/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,In-flight meal not included,2228
IndiGo,06/01/19,Bangalore,New Delhi,BLR ? DEL,6:05,8:50,2h 45m,1,No info,3943
GoAir,06/06/19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3898
SpiceJet,03/15/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:30,2h 30m,1,No info,3847
SpiceJet,06/15/19,Kolkata,Bangalore,CCU ? BLR,22:20,16-06-21 0:40,2h 20m,1,No check-in baggage included,3841
Air India,04/06/19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4460
IndiGo,03/03/19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,7648
IndiGo,06/18/19,Chennai,Kolkata,MAA ? CCU,13:15,15:35,2h 20m,1,No info,3597
IndiGo,05/15/19,Bangalore,New Delhi,BLR ? DEL,20:00,22:50,2h 50m,1,No info,4823
Jet Airways,05/24/19,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,1,No info,8040
IndiGo,03/03/19,Bangalore,New Delhi,BLR ? DEL,10:05,13:00,2h 55m,1,No info,7648
Vistara,06/12/19,Bangalore,New Delhi,BLR ? DEL,11:30,14:20,2h 50m,1,No info,4668
IndiGo,04/01/19,Bangalore,New Delhi,BLR ? DEL,20:00,22:50,2h 50m,1,No info,4823
SpiceJet,05/01/19,Kolkata,Bangalore,CCU ? BLR,22:20,02/05/21 0:40,2h 20m,1,No info,3873
IndiGo,06/06/19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,4823
Air India,03/06/19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,6881
Jet Airways,06/03/19,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,1,In-flight meal not included,4995
IndiGo,04/12/19,Kolkata,Bangalore,CCU ? BLR,15:30,18:05,2h 35m,1,No info,4174
